"Entity","NIF","Incorporation (t0)","Date of first intervention (t1)","Maximum Reported Investment (in t2)","Total FINOVA","N. Investors FINOVA","Total Increase in SC from 1st intervention (t1)","SC Final Intervention (in t2)","Total Increase SC (Inv)","NACE","Company not based in PT","Exit","Securities issued","Amount","Issuance date","Share Classes","N. Special Share Classes","Share nominal value","Number of shares","Percentage of special class shares","N. Investors (t2)","N. Investors (t2) Funds e Management Firms","N. Investors (t2) Other","Investors 1","Investors 2","Investors 3","Investors 4","Investors 5","Investors 6","Investors 7","Investors 8","Investors 9","Investors 10","Investors 11","Investors 12","Investors 13","Investors 14","Investors 15","Investors 16","Investors 17","Investors 18","Investors 19","Investors 20","Investors 21"
"COLLAB - SOLUCOES INFORMATICAS DE COMUNICACAO E COLABORACAO, S.A.","503476749","2006","2013","","0.00E+00","0.00E+00","1.13E+04","6.13E+04","1.13E+04","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","6.13E+04","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital","","","","","","","","","","","","","","","","","","","",""
"RADICAL INNOVATION, LDA","510693792","2013","2013","1.00E+06","1.00E+06","1.00E+00","1.00E+04","1.00E+04","8.00E+03","N - Administrative and support service activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"BRIGHT INNOVATION, LDA","510343856","2012","2012","1.50E+06","1.50E+06","1.00E+00","2.50E+04","2.50E+04","2.25E+04","N - Administrative and support service activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"POWER DATA, LDA","510731651","2013","2013","2.50E+05","2.50E+05","1.00E+00","1.00E+04","1.00E+04","8.00E+03","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","2.00E+00","2.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","FCR Novabase Capital","","","","","","","","","","","","","","","","","","",""
"POWERGRID, LDA","509766358","2011","2011","2.45E+06","2.45E+06","1.00E+00","4.50E+05","4.50E+05","4.00E+05","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"SMARTGEO, SOLUTIONS, LDA","510465978","2012","2013","1.00E+05","1.00E+05","1.00E+00","5.00E+03","5.00E+03","4.50E+03","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"CITY PULSE, LDA","513136444","2014","2014","2.50E+06","2.50E+06","1.00E+00","1.00E+05","1.00E+05","9.00E+04","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"LIVIAN TECHNOLOGIES, LDA","513231412","2014","2014","2.50E+06","2.50E+06","1.00E+00","1.00E+04","1.00E+04","8.00E+03","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"DTV RESEARCH, UNIPESSOAL LDA","510302262","2012","2012","2.50E+06","2.50E+06","1.00E+00","2.00E+05","2.00E+05","1.90E+05","J - Information and communication","","Sale, 2014","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"WIZDEE-SISTEMAS DE GESTAO DE CONHECIMENTO, S.A.","508979366","2009","2014","7.60E+05","2.60E+05","1.00E+00","1.51E+05","1.56E+05","9.45E+03","J - Information and communication","","","no records","0.00E+00","0","Y","6.24E+06","1.00E-02","1.56E+07","4.00E-01","2.00E+00","2.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","FUNDO DE CAPITAL DE RISCO PORTUGAL VENTURES INTERNACIONALIZACAO","","","","","","","","","","","","","","","","","","",""
"FEEDZAI - CONSULTADORIA E INOVACAO TECNOLOGICA, S.A.","508771862","2008","2011","4.46E+06","4.46E+06","3.00E+00","9.99E+04","1.51E+05","9.99E+04","J - Information and communication","DE, USA","","Bonds","1.05E+06","02/07/2015","Y","9.64E+06","1.00E-02","1.51E+07","6.39E-01","5.00E+00","4.00E+00","1.00E+00","ESV inovacao & internacionalizacao","ESV III","FCR Novabase Capital","EDP Ventures","FCR Revitalizar Centro","","","","","","","","","","","","","","","",""
"FEEDZAI, INC.","5249785","2012","2013","1.49E+07","0.00E+00","0.00E+00","","","","Foreign Company","DE, USA","2015, EDP, Novabase","no records","0.00E+00","0","US C-corp","0.00E+00","US C-corp","0.00E+00","0.00E+00","5.00E+00","1.00E+00","4.00E+00","Data Collective","Sapphire Ventures","Oak HC/FT","Capital One Growth Ventures","Es Ventures","","","","","","","","","","","","","","","",""
"STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.","508206383","2007","2011","2.44E+05","2.44E+05","1.00E+00","2.07E+05","2.12E+05","1.67E+05","C - Manufacturing","","","no records","0.00E+00","0","Y","1.07E+07","1.00E-02","2.12E+07","5.07E-01","6.00E+00","2.00E+00","4.00E+00","Fundo de Capital de Risco Empreender Mais","Fundo de Capital de Risco Beta Ciencias da Vida","Pathena, SGPS, S.A.","FJR, SGPS, S.A","Daninves, SGPS, S.A.","CGC Centro de Genetica Clinica e Patologia, S.A.","","","","","","","","","","","","","","",""
"MATERA, LDA","508753902","2009","2011","2.50E+05","2.50E+05","1.00E+00","2.80E+05","2.85E+05","1.85E+05","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","3.00E+00","1.00E+00","2.00E+00","FUNDO BETA CIENCIAS DA VIDA FCR","BIOCANT ASSOCIACAO DE TRANSFERENCIA DE TECNOLOGIA","BIOCANT VENTURES LDA","","","","","","","","","","","","","","","","","",""
"EQUIGERMINAL, S.A.","509756638","2011","2012","7.20E+05","7.20E+05","3.00E+00","6.50E+04","7.00E+04","5.13E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","6.50E+04","1.00E+00","7.00E+04","9.29E-01","3.00E+00","2.00E+00","1.00E+00","A2B, SGPS","FCR ISTART I","FCR Beta Ciencias","","","","","","","","","","","","","","","","","",""
"TORBEL, S.A.","500695679","1977","2014","1.32E+06","1.32E+06","1.00E+00","2.29E+05","7.29E+05","2.29E+05","C - Manufacturing","","","no records","0.00E+00","0","N","0.00E+00","5.00E+00","1.46E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR ASK Celta","","","","","","","","","","","","","","","","","","","",""
"ATP- ATLANTICO TRADE PARTNERS - IMPORTACAO E EXPORTACAO DE PRODUTOS ALIMENTARES, LDA","509229697","2010","2011","6.00E+05","6.00E+05","1.00E+00","1.00E+04","2.00E+04","1.00E+04","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR ASK Celta","","","","","","","","","","","","","","","","","","","",""
"ISA - INTELLIGENT SENSING ANYWHERE, S.A.","502448911","2010","2011","5.89E+06","5.89E+06","1.00E+00","8.53E+05","1.65E+06","1.57E+06","M - Professional, scientific and technical activities","","Spin-off and Reduction of Capital, 2014","Alternext","2.58E+03","2013","N","0.00E+00","1.00E+00","1.65E+06","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","","",""
"GO BIZ, VIAGENS E TURISMO, S.A.","506300072","2002","2012","2.65E+06","2.65E+06","1.00E+00","6.00E+04","1.65E+05","6.00E+04","N - Administrative and support service activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","1.65E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","","",""
"LIVE CONTENT S.A","509034080","2009","2011","6.50E+05","6.50E+05","1.00E+00","3.80E+05","6.19E+05","3.80E+05","J - Information and communication","","Exit, 2014","no records","0.00E+00","0","N","0.00E+00","1.00E+00","6.19E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","","",""
"USC INTERNACIONAL, S.A.","509928471","2011","2011","1.50E+06","1.50E+06","1.00E+00","7.50E+05","9.67E+05","7.50E+05","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","9.67E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","","",""
"CORTEX INTELLIGENCE TECNOLOGIA, LDA","509739490","2011","2012","3.00E+06","3.00E+06","1.00E+00","1.20E+05","1.50E+05","1.20E+05","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Capital Criativo I","","","","","","","","","","","","","","","","","","","",""
"BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.","509985394","2011","2011","1.02E+06","1.02E+06","1.00E+00","3.88E+06","3.88E+06","8.33E+05","K - Financial and insurance activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","3.88E+06","0.00E+00","1.00E+00","1.00E+00","0.00E+00","ESV inovacao & internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"LUSOEDUC - INFORMACAO E SERVICOS, S.A.","509061907","2009","2012","1.13E+06","1.13E+06","2.00E+00","3.49E+05","1.16E+06","3.49E+05","J - Information and communication","","","no records","0.00E+00","0","Y","1.13E+05","5.00E+00","2.32E+05","4.87E-01","2.00E+00","1.00E+00","1.00E+00","ESV inovacao & internacionalizacao","Busy Angels","","","","","","","","","","","","","","","","","","",""
"SAKPROJECT INTERNATIONAL, S.A","510434126","2012","2012","1.28E+06","1.28E+06","3.00E+00","7.78E+04","7.78E+04","2.78E+04","C - Manufacturing","","","no records","0.00E+00","0","Y","5.38E+06","1.00E-02","7.78E+06","6.91E-01","3.00E+00","2.00E+00","1.00E+00","FCR ISTART I","Busy Angels","ESV inovacao & internacionalizacao","","","","","","","","","","","","","","","","","",""
"STOCK BEATS, S.A.","513037470","2014","2014","1.85E+06","1.78E+06","1.00E+00","8.43E+04","1.84E+05","8.43E+04","J - Information and communication","","","no records","0.00E+00","0","Y","8.43E+04","1.00E+00","1.84E+05","4.57E-01","2.00E+00","1.00E+00","1.00E+00","ESV inovacao & internacionalizacao","Pathena","","","","","","","","","","","","","","","","","","",""
"NUTRI VENTURES CORPORATION - NVC S.A.","509667694","2010","2010","4.99E+06","4.99E+06","4.00E+00","2.89E+06","3.14E+06","2.89E+06","N - Administrative and support service activities","","","no records","0.00E+00","0","Y","1.02E+06","1.00E+00","3.14E+06","3.24E-01","4.00E+00","3.00E+00","1.00E+00","ESV inovacao & internacionalizacao","FCR PV Industrias Criativas","FCR Portugal Ventures Internacionalizacao","RedStar","","","","","","","","","","","","","","","","",""
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.","510575994","2013","2013","1.87E+06","1.87E+06","3.00E+00","5.27E+04","9.66E+04","5.27E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E-02","9.66E+06","0.00E+00","4.00E+00","4.00E+00","0.00E+00","ESV inovacao & internacionalizacao","FCR ISTART I","ESV III","FCR Beta Ciencias da Vida","","","","","","","","","","","","","","","","",""
"SCIENCE4YOU, S.A.","508457467","2008","2012","2.78E+06","2.78E+06","2.00E+00","1.03E+05","3.82E+05","1.03E+05","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","Bonds","3.00E+06","18/09/2015","N","0.00E+00","1.00E+00","3.82E+05","0.00E+00","6.00E+00","5.00E+00","1.00E+00","FCR Portugal Ventures Internacionalizacao","BCP Capital","FCR PV Industrias Criativas","FCR Finicia","Docentes FCUL","FCR Global2","","","","","","","","","","","","","","",""
"TUIZZI, S.A.","509820638","2011","2013","9.00E+05","9.00E+05","3.00E+00","7.77E+04","8.37E+04","7.77E+04","J - Information and communication","","","no records","0.00E+00","0","Y","4.07E+06","1.00E-02","8.37E+06","4.87E-01","3.00E+00","2.00E+00","1.00E+00","IA - FCI - TICE","FCR PV Industrias Criativas","Portugal Ventures Internacionalizacao","","","","","","","","","","","","","","","","","",""
"IM3DICAL, S.A.","509845061","2009","2013","7.50E+05","7.50E+05","1.00E+00","4.13E+04","1.12E+05","4.13E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","7.37E+06","1.00E-02","1.12E+07","6.56E-01","2.00E+00","1.00E+00","1.00E+00","FCR PV Industrias Criativas","Pathena","","","","","","","","","","","","","","","","","","",""
"GLEAM, S.A.","510730370","2013","2013","9.40E+05","6.00E+05","1.00E+00","4.17E+05","4.17E+05","4.17E+05","J - Information and communication","","","no records","0.00E+00","0","Y","2.17E+05","1.00E+00","4.17E+05","5.20E-01","2.00E+00","1.00E+00","1.00E+00","FABER VENTURES, S.A.","FCR PV Industrias Criativas","","","","","","","","","","","","","","","","","","",""
"GLOBAL INPAKT, S.A.","510742971","2013","2013","2.75E+05","2.75E+05","2.00E+00","5.57E+04","5.57E+04","5.57E+04","J - Information and communication","","Dissolution, 2014","no records","0.00E+00","0","Y","1.57E+06","1.00E-02","5.57E+06","2.82E-01","2.00E+00","1.00E+00","1.00E+00","FCR PV Industrias Criativas","PNV Capital","","","","","","","","","","","","","","","","","","",""
"GETSOCIAL, S.A.","510781322","2013","2013","6.30E+05","3.15E+05","1.00E+00","6.96E+04","6.96E+04","6.96E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.96E+06","1.00E-02","6.96E+06","4.26E-01","2.00E+00","1.00E+00","1.00E+00","FCR PV Industrias Criativas","FABER VENTURES, S.A.","","","","","","","","","","","","","","","","","","",""
"GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDACAO","510803598","2013","2013","1.00E+06","1.00E+06","1.00E+00","2.73E+05","7.78E+05","2.73E+05","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","Y","2.78E+07","1.00E-02","7.78E+07","3.57E-01","1.00E+00","1.00E+00","0.00E+00","FCR PV Industrias Criativas","","","","","","","","","","","","","","","","","","","",""
"GREENFIBER TECH, S.A.","509967400","2011","2013","1.43E+06","1.43E+06","2.00E+00","1.27E+06","1.69E+06","1.27E+06","C - Manufacturing","","","Securities issuing","6.25E+05","22/04/2016","Y","3.38E+05","5.00E+00","3.38E+05","1.00E+00","2.00E+00","2.00E+00","0.00E+00","FCR PV Early Stage","FCR ASK Capital","","","","","","","","","","","","","","","","","","",""
"STREAMBOLICO S.A.","510177026","2012","2013","1.24E+06","1.24E+06","2.00E+00","6.18E+04","6.68E+04","2.56E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.56E+06","1.00E-02","6.68E+06","3.83E-01","2.00E+00","2.00E+00","0.00E+00","FCR PV Early Stage","Fundo de Capital de Risco Fast Change II","","","","","","","","","","","","","","","","","","",""
"WHIZZTEK, S.A. - EM LIQUIDACAO","510361803","2012","2014","7.50E+05","7.50E+05","1.00E+00","1.35E+05","1.90E+05","8.76E+04","J - Information and communication","","Dissolution, 31/08/2015","no records","0.00E+00","0","Y","3.52E+06","1.00E-02","1.90E+07","1.85E-01","1.00E+00","1.00E+00","0.00E+00","FCR PV Early Stage","","","","","","","","","","","","","","","","","","","",""
"LIQUID DATA INTELLIGENCE, S.A.","510993834","2014","2014","7.50E+05","6.08E+05","1.00E+00","3.38E+04","2.03E+05","3.38E+04","J - Information and communication","","","no records","0.00E+00","0","Y","6.75E+06","1.00E-02","2.03E+07","3.33E-01","2.00E+00","1.00E+00","1.00E+00","FABER VENTURES, S.A.","FCR PV Early Stage","","","","","","","","","","","","","","","","","","",""
"FORMULA DA AVO - LDA","510077072","2012","2013","1.84E+05","1.84E+05","2.00E+00","3.85E+03","8.85E+03","3.85E+03","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","2.00E+00","1.00E+00","1.00E+00","HOTTRADE - REPRESENTACOES, GESTAO E SERVICOS S.A.","EV Tecsaude, SGPS, SA","","","","","","","","","","","","","","","","","","",""
"SPHERE ULTRAFAST PHOTONICS, S.A.","510571514","2013","2014","8.50E+05","8.50E+05","1.00E+00","2.33E+04","6.43E+04","2.33E+04","C - Manufacturing","","","no records","0.00E+00","0","Y","1.95E+05","1.00E-01","6.43E+05","3.03E-01","1.00E+00","1.00E+00","0.00E+00","FCR Minho Inovacao & Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"MOBIQUEUE, S.A.","510753884","2013","2014","1.50E+05","1.50E+05","1.00E+00","4.40E+04","5.00E+04","4.00E+04","J - Information and communication","","","no records","0.00E+00","0","Y","1.70E+05","1.00E-01","5.00E+05","3.40E-01","1.00E+00","1.00E+00","0.00E+00","FCR Minho Inovacao & Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"ADDVOLT, S.A.","510788815","2014","2014","3.35E+05","3.35E+05","1.00E+00","5.00E+04","5.00E+04","3.00E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E-01","5.00E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Minho Inovacao & Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"BIOMODE 2, S.A.","513002901","2014","2014","1.60E+06","1.53E+06","3.00E+00","6.00E+04","6.00E+05","4.76E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","3.34E+05","1.00E-01","6.00E+06","5.57E-02","4.00E+00","2.00E+00","2.00E+00","FCR FAST Change II","FCR Minho Inovacao & Internacionalizacao","IA - FCI Ciencias da Vida SGPS, SA","Gegnum Gestao e Investimentos, lda","","","","","","","","","","","","","","","","",""
"AUGRPUBLISHER, S.A","513061690","2014","2014","2.13E+05","2.13E+05","1.00E+00","3.75E+04","5.01E+04","3.75E+04","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","5.01E+04","0.00E+00","2.00E+00","1.00E+00","1.00E+00","FCR Minho Inovacao & Internacionalizacao","Binteractive, Lda","","","","","","","","","","","","","","","","","","",""
"DOCTORGUMMY, LDA","513249141","2014","2014","1.63E+05","1.63E+05","1.00E+00","2.97E+03","7.97E+03","2.97E+03","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","4.00E+00","1.00E+00","3.00E+00","FCR Minho Inovacao & Internacionalizacao","Capital Disperso, LDA","Fast Sharks Invest, LDA","Vallis Sustainable Investments I","","","","","","","","","","","","","","","","",""
"CRITICAL MATERIALS, S.A.","508339855","2008","2011","6.00E+05","6.00E+05","1.00E+00","1.38E+05","2.38E+05","1.38E+05","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","2.38E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Critical Ventures I","","","","","","","","","","","","","","","","","","","",""
"RETMARKER, S.A.","508805759","2008","2011","1.13E+06","1.13E+06","2.00E+00","4.53E+05","9.53E+05","4.53E+05","J - Information and communication","","","no records","0.00E+00","0","Y","7.03E+04","no value","0.00E+00","0.00E+00","2.00E+00","1.00E+00","1.00E+00","FCR Critical Ventures I","Sequoia Saude e Tecnologia","","","","","","","","","","","","","","","","","","",""
"BLUECARING - SISTEMAS DE MONITORIZACAO, S.A.","509961320","2011","2014","3.60E+05","3.60E+05","1.00E+00","5.00E+04","1.00E+05","5.00E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.32E+05","2.50E-01","4.00E+05","5.79E-01","1.00E+00","1.00E+00","0.00E+00","FCR Critical Ventures I","","","","","","","","","","","","","","","","","","","",""
"WFSW, S.A.","510343350","2012","2012","1.00E+06","1.00E+06","1.00E+00","1.50E+04","6.50E+04","1.50E+04","J - Information and communication","","2013,DE, USA","no records","0.00E+00","0","N","0.00E+00","1.00E+00","6.50E+04","0.00E+00","2.00E+00","1.00E+00","1.00E+00","Critical Ventures","Critical SGPS (holding)","","","","","","","","","","","","","","","","","","",""
"CBRA GENOMICS, S.A.","510447147","2012","2013","1.09E+06","1.09E+06","2.00E+00","6.87E+04","6.97E+04","4.37E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","3.88E+06","1.00E-02","6.97E+06","5.56E-01","4.00E+00","2.00E+00","2.00E+00","FCR Critical Ventures I","FCR PV Biocant","FCR Minho Inovacao & Internacionalizacao","Critical Software, S.A.","","","","","","","","","","","","","","","","",""
"GENE PREDIT S.A.","507586557","2006","2012","3.91E+05","3.91E+05","1.00E+00","1.03E+06","1.04E+06","1.02E+06","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","4.85E+05","1.00E+00","1.04E+06","4.69E-01","4.00E+00","3.00E+00","1.00E+00","FCR PV Biocant","Biocant Ventures, Lda","BETA SOCIEDADE DE CAPITAL DE RISCO, S.A.","FUNDO DE CAPITAL DE RISCO INOVCAPITAL","","","","","","","","","","","","","","","","",""
"TREAT U, S.A.","509293077","2010","2013","7.60E+05","7.60E+05","1.00E+00","2.46E+04","8.46E+04","2.46E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","1.44E+06","1.00E-02","8.46E+06","1.70E-01","2.00E+00","1.00E+00","1.00E+00","FCR PV Biocant","Bluepharma Industria farmaceutica,S.A.","","","","","","","","","","","","","","","","","","",""
"PERCEIVE3D, S.A.","510642926","2013","2013","1.13E+06","1.13E+06","1.00E+00","1.08E+05","1.09E+05","3.13E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","3.13E+06","1.00E-02","1.09E+07","2.87E-01","2.00E+00","2.00E+00","0.00E+00","FCR PV Biocant","FCR Portugal Ventures ACTEC II","","","","","","","","","","","","","","","","","","",""
"ALTAKITIN, S.A.","509655300","2010","2011","9.01E+05","9.01E+05","1.00E+00","5.89E+04","1.09E+05","1.74E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","1.09E+05","0.00E+00","2.00E+00","2.00E+00","0.00E+00","FCR ASK Capital","Fundo ISQ Capital","","","","","","","","","","","","","","","","","","",""
"BABYBOOK, S.A.","509822070","2011","2014","6.65E+05","5.08E+05","2.00E+00","7.17E+04","7.27E+04","4.54E+04","J - Information and communication","","","no records","0.00E+00","0","Y","2.77E+06","1.00E-02","7.27E+06","3.81E-01","3.00E+00","3.00E+00","0.00E+00","Fundo ASK Capital","FCR PV Universitas","Naves Sociedade de Capital de Risco, S.A.","","","","","","","","","","","","","","","","","",""
"SHIFTFORWARD, S.A.","509890180","2011","2014","7.50E+05","7.50E+05","1.00E+00","6.01E+04","6.01E+04","1.31E+04","J - Information and communication","","","no records","0.00E+00","0","Y","1.01E+06","1.00E-02","6.01E+06","1.68E-01","1.00E+00","1.00E+00","0.00E+00","FCR Portugal Ventures Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"YOUNGSTORIES, S.A.","509984568","2011","2013","2.14E+06","2.09E+06","3.00E+00","7.44E+04","7.49E+04","2.64E+04","J - Information and communication","","","no records","0.00E+00","0","N","0.00","1.00E-02","7.49E+06","0.00E+00","5.00E+00","2.00E+00","3.00E+00","Shilling Capital Partners, SGPS, Lda","Busy Angels","FABER VENTURES, S.A.","FCR PV Universitas","FCR Portugal Ventures Early Stage","","","","","","","","","","","","","","","",""
